target_draw,draw_date,history_cutoff,period,era,consensus_ticket,actual_main_numbers,special_number,hits,m1_plus,m2_plus,m3_plus,m4_plus,m5_plus,m6_plus,n_supported_numbers,top1_score,top1_support,top6_mean_support,rank6_score,rank7_score,rank6_minus_rank7_margin,rank6_support,rank7_support,rank6_rank7_tied,top6_family_breadth_mean,top6_distinct_families,score_entropy_norm,support_concentration_hhi,top6_score_mass_fraction,minority_support_mass,strategy_disagreement,family_disagreement,top6_slots_in_43_49,top6_slots_in_1_12,winner_ranks,winner_supports,winner_min_rank,n_winners_rank_7_8,n_winners_rank_7_12,n_winners_rank_21plus,n_winners_zero_support,top6_mean_gap,winners_mean_gap,top1_missed,special_rank,best_single_strategy_hits,n_strategies_m2plus
103000033,2014-04-11,103000032,SEARCH_1117,PRE_2023,4;9;13;17;34;38,1;3;4;9;12;17,15,3,1,1,1,0,0,0,44,0.242424,6,6.5,0.143939,0.136364,0.007576,6,5,0,4.0,6,0.91885,0.033227,0.32684,0.294372,0.898564,0.870001,0,2,1;2;5;12;45;47,2;0;4;6;0;8,1,0,1,2,2,49.0,8.667,0,24,3,8
103000034,2014-04-15,103000033,SEARCH_1117,PRE_2023,1;9;11;13;17;38,5;8;24;26;35;44,41,0,0,0,0,0,0,0,43,0.234848,6,6.3333,0.159091,0.159091,0.0,6,5,1,4.0,7,0.90724,0.034829,0.333333,0.261905,0.894147,0.866881,0,3,23;24;25;27;28;45,1;1;3;0;2;3,23,0,0,6,1,6.5,8.0,1,30,2,2
103000035,2014-04-18,103000034,SEARCH_1117,PRE_2023,2;9;13;17;31;34,8;9;15;40;44;48,24,1,1,0,0,0,0,0,41,0.272727,7,6.1667,0.136364,0.136364,0.0,3,4,1,3.6667,6,0.899815,0.035588,0.333333,0.277056,0.885913,0.862772,0,2,1;14;21;25;31;49,3;7;2;3;2;0,1,0,0,4,1,46.5,6.667,0,13,2,4
103000036,2014-04-22,103000035,SEARCH_1117,PRE_2023,7;8;9;17;31;38,11;12;15;18;20;37,42,0,0,0,0,0,0,0,44,0.25,7,5.6667,0.159091,0.151515,0.007576,6,4,0,4.0,8,0.906714,0.035016,0.324675,0.266234,0.892517,0.859467,0,3,13;16;18;29;42;45,5;0;3;1;1;2,13,0,0,3,1,9.167,7.333,1,28,2,2
103000037,2014-04-25,103000036,SEARCH_1117,PRE_2023,2;7;9;15;17;31,4;24;34;35;38;46,30,0,0,0,0,0,0,0,41,0.242424,6,6.1667,0.143939,0.136364,0.007576,4,4,0,4.3333,7,0.8982,0.035503,0.331169,0.244589,0.881734,0.862225,0,3,8;12;13;30;38;43,0;8;7;1;6;3,8,1,2,3,1,9.667,46.5,1,47,2,6
103000038,2014-04-29,103000037,SEARCH_1117,PRE_2023,2;9;17;24;25;33,2;9;27;30;44;46,22,2,1,1,0,0,0,0,39,0.257576,7,6.3333,0.143939,0.136364,0.007576,4,3,0,4.6667,7,0.890854,0.036084,0.32684,0.155844,0.888898,0.853417,0,2,1;6;28;36;39;45,4;7;0;1;1;4,1,0,0,4,1,8.833,5.667,0,38,2,3
103000039,2014-05-02,103000038,SEARCH_1117,PRE_2023,2;9;17;20;25;31,1;7;23;25;37;40,12,1,1,0,0,0,0,0,42,0.30303,9,6.1667,0.143939,0.128788,0.015152,6,5,0,4.3333,7,0.901292,0.037012,0.359307,0.201299,0.894865,0.866256,0,2,5;8;11;14;26;30,1;3;2;4;3;3,5,1,2,2,0,5.667,10.833,1,33,2,3
103000040,2014-05-06,103000039,SEARCH_1117,PRE_2023,2;9;10;11;17;37,10;25;35;39;40;46,31,1,1,0,0,0,0,0,45,0.272727,7,5.6667,0.128788,0.128788,0.0,5,4,1,4.3333,8,0.919592,0.034135,0.333333,0.30303,0.902174,0.866809,0,4,2;10;19;26;31;39,6;2;1;4;4;5,2,0,1,3,0,6.5,7.333,1,8,3,8
103000041,2014-05-09,103000040,SEARCH_1117,PRE_2023,2;9;10;17;31;35,1;11;13;21;27;37,3,0,0,0,0,0,0,0,43,0.310606,8,5.3333,0.143939,0.136364,0.007576,4,6,0,3.8333,8,0.905156,0.035325,0.318182,0.190476,0.893388,0.857102,0,3,12;13;19;37;42;44,0;1;3;3;1;3,12,0,1,3,1,5.0,9.0,1,8,2,2
103000042,2014-05-13,103000041,SEARCH_1117,PRE_2023,1;2;9;11;17;33,15;20;29;31;32;44,23,0,0,0,0,0,0,0,40,0.280303,8,5.8333,0.143939,0.143939,0.0,5,4,1,4.3333,7,0.895675,0.036253,0.337662,0.246753,0.893902,0.84951,0,4,7;22;24;31;34;46,2;4;0;4;2;2,7,1,1,5,1,7.333,10.667,1,39,2,2
